avgcpu,node_count,instance_type,job_input,engine_type,data_size,elapsed_time,name
75.72572413793104,10,r4.2xlarge,kmeans,spark1.5,bigdata,290.40999033400294,10_r4.2xlarge_kmeans_spark1.5_bigdata_1
64.63238235294118,10,r4.2xlarge,kmeans,spark1.5,huge,169.7627199210001,10_r4.2xlarge_kmeans_spark1.5_huge_1
4.0612124248497,10,r4.2xlarge,lr,spark,bigdata,2830.579,10_r4.2xlarge_lr_spark_bigdata_1
3.0962767441860466,10,r4.2xlarge,lr,spark,huge,2144.617,10_r4.2xlarge_lr_spark_huge_1
89.39051824817518,10,r4.2xlarge,naive-bayes,spark1.5,bigdata,687.3644642660001,10_r4.2xlarge_naive-bayes_spark1.5_bigdata_1
82.3447105263158,10,r4.2xlarge,naive-bayes,spark1.5,huge,191.85231690199998,10_r4.2xlarge_naive-bayes_spark1.5_huge_1
66.14643234323432,10,r4.2xlarge,pagerank,hadoop,bigdata,855.242,10_r4.2xlarge_pagerank_hadoop_bigdata_1
62.290853846153844,10,r4.2xlarge,pagerank,hadoop,huge,647.263,10_r4.2xlarge_pagerank_hadoop_huge_1
55.156774193548394,10,r4.2xlarge,pagerank,spark,bigdata,270.936,10_r4.2xlarge_pagerank_spark_bigdata_1
47.58910810810811,10,r4.2xlarge,pagerank,spark,huge,181.227,10_r4.2xlarge_pagerank_spark_huge_1
74.73236549291131,10,r4.2xlarge,regression,spark1.5,bigdata,3373.9430048900003,10_r4.2xlarge_regression_spark1.5_bigdata_1
57.91403225806452,10,r4.2xlarge,regression,spark1.5,huge,154.49937886400005,10_r4.2xlarge_regression_spark1.5_huge_1
31.560651982378857,10,r4.2xlarge,terasort,hadoop,bigdata,858.669,10_r4.2xlarge_terasort_hadoop_bigdata_1
51.034471698113215,10,r4.2xlarge,terasort,hadoop,huge,260.222,10_r4.2xlarge_terasort_hadoop_huge_1
60.95561820052846,10,r4.2xlarge,wordcount,hadoop,bigdata,526.086,10_r4.2xlarge_wordcount_hadoop_bigdata_1
62.88419429824561,10,r4.2xlarge,wordcount,hadoop,huge,276.373,10_r4.2xlarge_wordcount_hadoop_huge_1
68.73824131646572,10,r4.large,join,spark,bigdata,883.491,10_r4.large_join_spark_bigdata_1
66.62130841121495,10,r4.large,join,spark,huge,533.062,10_r4.large_join_spark_huge_1
88.46507212825173,10,r4.large,kmeans,spark1.5,bigdata,6979.046487945001,10_r4.large_kmeans_spark1.5_bigdata_1
88.31802375296911,10,r4.large,kmeans,spark1.5,huge,2107.3998828509993,10_r4.large_kmeans_spark1.5_huge_1
25.003750737463125,10,r4.large,lr,spark,bigdata,2222.539,10_r4.large_lr_spark_bigdata_1
22.97351082251082,10,r4.large,lr,spark,huge,1150.899,10_r4.large_lr_spark_huge_1
89.61550857142858,10,r4.large,naive-bayes,spark1.5,bigdata,2624.306614522,10_r4.large_naive-bayes_spark1.5_bigdata_1
87.88710661764705,10,r4.large,naive-bayes,spark1.5,huge,1362.8870491590005,10_r4.large_naive-bayes_spark1.5_huge_1
69.53743450881612,10,r4.large,pagerank,hadoop,bigdata,2537.644,10_r4.large_pagerank_hadoop_bigdata_1
69.89380985915493,10,r4.large,pagerank,hadoop,huge,1415.209,10_r4.large_pagerank_hadoop_huge_1
71.32278279349461,10,r4.large,pagerank,spark,bigdata,884.527,10_r4.large_pagerank_spark_bigdata_1
68.80041806020067,10,r4.large,pagerank,spark,huge,447.776,10_r4.large_pagerank_spark_huge_1
84.27842152777778,10,r4.large,regression,spark1.5,bigdata,7200.505635888001,10_r4.large_regression_spark1.5_bigdata_1
82.83025892857142,10,r4.large,regression,spark1.5,huge,2801.8974689610004,10_r4.large_regression_spark1.5_huge_1
48.285817204301075,10,r4.large,terasort,hadoop,bigdata,1873.476,10_r4.large_terasort_hadoop_bigdata_1
50.821287292817686,10,r4.large,terasort,hadoop,huge,899.261,10_r4.large_terasort_hadoop_huge_1
60.88376131769961,10,r4.large,wordcount,hadoop,bigdata,16.667375848999654,10_r4.large_wordcount_hadoop_bigdata_1
61.781973571347656,10,r4.large,wordcount,hadoop,huge,964.462,10_r4.large_wordcount_hadoop_huge_1
69.57932218772392,10,r4.xlarge,join,spark,bigdata,457.252,10_r4.xlarge_join_spark_bigdata_1
59.573454545454545,10,r4.xlarge,join,spark,huge,331.815,10_r4.xlarge_join_spark_huge_1
92.47424538258575,10,r4.xlarge,kmeans,spark1.5,bigdata,1895.294582202001,10_r4.xlarge_kmeans_spark1.5_bigdata_1
75.7147037037037,10,r4.xlarge,kmeans,spark1.5,huge,270.1121087729998,10_r4.xlarge_kmeans_spark1.5_huge_1
9.714268,10,r4.xlarge,lr,spark,bigdata,2281.488,10_r4.xlarge_lr_spark_bigdata_1
7.886948630136986,10,r4.xlarge,lr,spark,huge,1457.946,10_r4.xlarge_lr_spark_huge_1
90.25943018867925,10,r4.xlarge,naive-bayes,spark1.5,bigdata,1325.790013068001,10_r4.xlarge_naive-bayes_spark1.5_bigdata_1
90.68808208955224,10,r4.xlarge,naive-bayes,spark1.5,huge,672.08155739,10_r4.xlarge_naive-bayes_spark1.5_huge_1
69.5233544857768,10,r4.xlarge,pagerank,hadoop,bigdata,1403.846,10_r4.xlarge_pagerank_hadoop_bigdata_1
67.69677011494252,10,r4.xlarge,pagerank,hadoop,huge,866.099,10_r4.xlarge_pagerank_hadoop_huge_1
68.81642176870749,10,r4.xlarge,pagerank,spark,bigdata,465.759,10_r4.xlarge_pagerank_spark_bigdata_1
