m5n.xlarge,8.3,13.4,23.7,32.7
m5n.2xlarge,16.5,26.7,47.3,65.4
m5n.4xlarge,33.1,53.5,94.6,130.7
m5n.8xlarge,66.1,106.9,189.3,261.4
m5n.12xlarge,99.2,160.4,283.9,392.2
m5n.16xlarge,132.3,213.8,378.5,522.9
m5n.24xlarge,198.4,320.8,567.8,784.3
m5n.metal,198.4,320.8,567.8,784.3
m5zn.large,8.4,13.0,25.1,31.3
m5zn.xlarge,16.8,26.0,50.3,62.6
m5zn.2xlarge,33.5,52.0,100.6,125.3
m5zn.3xlarge,50.3,78.0,150.9,187.9
m5zn.6xlarge,100.5,156.0,301.8,375.9
m5zn.12xlarge,201.0,312.0,603.5,751.8
m5zn.metal,201.0,312.0,603.5,751.8
m6g.medium,1.5,2.4,3.8,5.3
m6g.large,3.1,4.8,7.7,10.5
m6g.xlarge,6.2,9.7,15.3,21.0
m6g.2xlarge,12.3,19.3,30.7,42.0
m6g.4xlarge,24.7,38.6,61.3,84.1
m6g.8xlarge,49.3,77.3,122.6,168.2
m6g.12xlarge,74.0,115.9,183.9,252.3
m6g.16xlarge,98.6,154.5,245.2,336.4
m6g.metal,98.6,154.5,245.2,336.4
m6gd.medium,1.5,2.4,3.8,5.3
m6gd.large,3.1,4.8,7.7,10.5
m6gd.xlarge,6.2,9.7,15.3,21.0
m6gd.2xlarge,12.3,19.3,30.7,42.0
m6gd.4xlarge,24.7,38.6,61.3,84.1
m6gd.8xlarge,49.3,77.3,122.6,168.2
m6gd.12xlarge,74.0,115.9,183.9,252.3
