true,predicted,name,avgcpu,node_count,instance_type,job_input,engine_type,data_size
7200.505635888001,6979.584139654986,10_r4.large_regression_spark1.5_bigdata_1,84.27842152777778,10,r4.large,regression,spark1.5,bigdata
2801.8974689610004,2871.506334023676,10_r4.large_regression_spark1.5_huge_1,82.83025892857142,10,r4.large,regression,spark1.5,huge
1873.476,1867.9901084312444,10_r4.large_terasort_hadoop_bigdata_1,48.28581720430108,10,r4.large,terasort,hadoop,bigdata
899.261,1021.8631347340927,10_r4.large_terasort_hadoop_huge_1,50.821287292817686,10,r4.large,terasort,hadoop,huge
16.667375848999654,1964.0362284064008,10_r4.large_wordcount_hadoop_bigdata_1,60.88376131769961,10,r4.large,wordcount,hadoop,bigdata
964.462,1084.4566713654247,10_r4.large_wordcount_hadoop_huge_1,61.781973571347656,10,r4.large,wordcount,hadoop,huge
457.252,354.0527334266827,10_r4.xlarge_join_spark_bigdata_1,69.57932218772392,10,r4.xlarge,join,spark,bigdata
331.815,188.98246094788186,10_r4.xlarge_join_spark_huge_1,59.57345454545455,10,r4.xlarge,join,spark,huge
1895.294582202001,1989.448669538622,10_r4.xlarge_kmeans_spark1.5_bigdata_1,92.47424538258576,10,r4.xlarge,kmeans,spark1.5,bigdata
270.1121087729998,126.84573274735149,10_r4.xlarge_kmeans_spark1.5_huge_1,75.7147037037037,10,r4.xlarge,kmeans,spark1.5,huge
2281.488,2381.341104851558,10_r4.xlarge_lr_spark_bigdata_1,9.714268,10,r4.xlarge,lr,spark,bigdata
1457.946,1467.4130544855225,10_r4.xlarge_lr_spark_huge_1,7.886948630136986,10,r4.xlarge,lr,spark,huge
1325.790013068001,1431.5932199844538,10_r4.xlarge_naive-bayes_spark1.5_bigdata_1,90.25943018867925,10,r4.xlarge,naive-bayes,spark1.5,bigdata
672.08155739,443.89413761197375,10_r4.xlarge_naive-bayes_spark1.5_huge_1,90.68808208955224,10,r4.xlarge,naive-bayes,spark1.5,huge
1403.846,1582.3530114628068,10_r4.xlarge_pagerank_hadoop_bigdata_1,69.5233544857768,10,r4.xlarge,pagerank,hadoop,bigdata
866.099,837.0574830533649,10_r4.xlarge_pagerank_hadoop_huge_1,67.69677011494252,10,r4.xlarge,pagerank,hadoop,huge
465.759,512.6664617967332,10_r4.xlarge_pagerank_spark_bigdata_1,68.81642176870749,10,r4.xlarge,pagerank,spark,bigdata
257.669,116.41465846596705,10_r4.xlarge_pagerank_spark_huge_1,63.8679423076923,10,r4.xlarge,pagerank,spark,huge
5194.137006564,5558.466768254866,10_r4.xlarge_regression_spark1.5_bigdata_1,86.548811506358,10,r4.xlarge,regression,spark1.5,bigdata
282.53606942600004,553.6422312807302,10_r4.xlarge_regression_spark1.5_huge_1,71.87132142857142,10,r4.xlarge,regression,spark1.5,huge
881.95,848.6298055501817,10_r4.xlarge_terasort_hadoop_bigdata_1,51.61498363913812,10,r4.xlarge,terasort,hadoop,bigdata
433.134,387.4939102459752,10_r4.xlarge_terasort_hadoop_huge_1,52.87817763845349,10,r4.xlarge,terasort,hadoop,huge
925.319,928.40867431655,10_r4.xlarge_wordcount_hadoop_bigdata_1,63.00677288275083,10,r4.xlarge,wordcount,hadoop,bigdata
512.09,476.3946431656328,10_r4.xlarge_wordcount_hadoop_huge_1,60.2195243243003,10,r4.xlarge,wordcount,hadoop,huge
305.989,324.89979630468287,12_c4.2xlarge_join_spark_bigdata_1,40.45379625803489,12,c4.2xlarge,join,spark,bigdata
288.597,146.83087058605815,12_c4.2xlarge_join_spark_huge_1,29.52875,12,c4.2xlarge,join,spark,huge
1213.3391104870009,1214.1188847307799,12_c4.2xlarge_kmeans_spark1.5_bigdata_1,86.74051652892562,12,c4.2xlarge,kmeans,spark1.5,bigdata
666.2022039559997,661.4612553770428,12_c4.2xlarge_kmeans_spark1.5_huge_1,81.30132205513785,12,c4.2xlarge,kmeans,spark1.5,huge
2631.642,2879.8431748715484,12_c4.2xlarge_lr_spark_bigdata_1,3.543408739365816,12,c4.2xlarge,lr,spark,bigdata
1665.137,1639.0112413262761,12_c4.2xlarge_lr_spark_huge_1,3.0576721556886226,12,c4.2xlarge,lr,spark,huge
521.8876142879999,361.7624629915405,12_c4.2xlarge_naive-bayes_spark1.5_bigdata_1,87.99098557692308,12,c4.2xlarge,naive-bayes,spark1.5,bigdata
265.82184146300006,24.871396765905768,12_c4.2xlarge_naive-bayes_spark1.5_huge_1,86.69603773584906,12,c4.2xlarge,naive-bayes,spark1.5,huge
734.918,697.9586480830178,12_c4.2xlarge_pagerank_hadoop_bigdata_1,60.94662213740458,12,c4.2xlarge,pagerank,hadoop,bigdata
563.754,620.2332346111493,12_c4.2xlarge_pagerank_hadoop_huge_1,58.26943215339233,12,c4.2xlarge,pagerank,hadoop,huge
351.277,237.49941610054978,12_c4.2xlarge_pagerank_spark_bigdata_1,61.56681681681682,12,c4.2xlarge,pagerank,spark,bigdata
190.266,189.19423120652593,12_c4.2xlarge_pagerank_spark_huge_1,49.25576923076923,12,c4.2xlarge,pagerank,spark,huge
