instance_type,scope3_hourly,slope,intercept,error,r_value,p_value,max_power
db.r5.12xlarge,31.0,5.326612903225806,156.26048387096773,0.4076047629996218,0.9941952712973129,0.005804728702687111,670.8
db.r5.16xlarge,41.3,7.10241935483871,208.30322580645156,0.5431199972617486,0.9942031795164284,0.005796820483571551,894.4
db.r5.24xlarge,62.0,10.653709677419355,312.4516129032257,0.8149339314908334,0.9941996836548741,0.0058003163451259,1341.6
db.r4.large,1.4,0.12193548387096775,6.77258064516129,0.015045024345085811,0.9851151699991505,0.014884830000849501,18.6
db.r4.xlarge,2.8,0.24274193548387096,13.56532258064516,0.029128313319460104,0.9859044395785386,0.01409556042146143,37.1
db.r4.2xlarge,5.6,0.487258064516129,27.084677419354843,0.05898392830362325,0.9856606612128321,0.014339338787167871,74.3
db.r4.4xlarge,11.3,0.9732258064516129,54.245967741935495,0.1175636354349883,0.9857196879486594,0.014280312051340619,148.6
db.r4.8xlarge,22.6,1.9462903225806454,108.47338709677418,0.2362615720701193,0.9855822076973484,0.014417792302651613,297.1
db.r4.16xlarge,45.1,3.8938709677419348,216.8701612903226,0.4714865472693596,0.9856533511867709,0.014346648813229114,594.3
db.r3.large,2.0,0.14983870967741938,8.156451612903226,0.018943546670511742,0.9843896845755041,0.015610315424495863,22.6
db.r3.xlarge,4.1,0.2987096774193549,16.42661290322581,0.03811821321862078,0.9841030642015071,0.01589693579849294,45.2
db.r3.2xlarge,8.2,0.5985483870967743,32.758064516129025,0.0763728837856184,0.9841061598772449,0.01589384012275507,90.4
db.r3.4xlarge,16.4,1.195967741935484,65.61129032258064,0.15260881721778619,0.9841047137999043,0.01589528620009573,180.8
db.r3.8xlarge,32.8,2.3917741935483874,131.2040322580645,0.3048489821617869,0.9841400921582886,0.015859907841711426,361.6
db.m2.xlarge,2.7,0.17983870967741936,9.806451612903226,0.02358895092239477,0.9832267999659382,0.016773200034061794,27.1
db.m2.2xlarge,5.3,0.35854838709677417,19.633064516129036,0.046328451757507196,0.9837112834804363,0.016288716519563654,54.1
db.m2.4xlarge,10.6,0.7187096774193549,39.20161290322581,0.09303124580005002,0.9836544409489222,0.016345559051077815,108.3
db.t3.micro,1.0,0.09403225806451612,4.113709677419355,0.012070670760643862,0.9839182490297167,0.0160817509702833,13.0
db.t3.small,1.0,0.10306451612903225,4.22741935483871,0.01241673621324809,0.9857942271699264,0.014205772830073626,14.0
db.t3.medium,1.0,0.12,4.55,0.012794908261466923,0.9888215425094034,0.011178457490596648,16.0
db.t3.large,1.0,0.15403225806451612,5.213709677419355,0.014218041549914264,0.9915870446307833,0.008412955369216716,20.0
db.t3.xlarge,1.9,0.30709677419354836,10.441129032258067,0.028786256150882053,0.9913275558635379,0.008672444136462065,39.9
db.t3.2xlarge,3.9,0.6148387096774194,20.85645161290323,0.058118926120163686,0.9911826308444714,0.008817369155528552,79.8
db.t2.micro,0.9,0.043709677419354845,2.2766129032258067,0.00673326730923762,0.9770826558035027,0.02291734419649727,6.4
db.t2.small,0.9,0.047419354838709675,2.5032258064516135,0.006948599751141294,0.9791952146549076,0.020804785345092454,7.0
db.t2.medium,1.8,0.09596774193548387,5.0112903225806456,0.01411129023040419,0.9790555213108095,0.02094447868919047,14.1
db.t2.large,1.8,0.11080645161290323,5.91774193548387,0.015042862796816008,0.9820641124275368,0.017935887572463227,16.5
db.t2.xlarge,3.6,0.22112903225806452,11.87983870967742,0.03050594438925197,0.9814949367564432,0.01850506324355683,33.0
db.t2.2xlarge,7.1,0.44209677419354837,23.741129032258062,0.06057536091213813,0.9817386564399636,0.01826134356003639,66.0
