avgcpu,job_input,engine_type,data_size,node_count,instance_type,elapsed_time,name
89.39051824817518,naive-bayes,spark1.5,bigdata,10,r4.2xlarge,687.3644642660001,10_r4.2xlarge_naive-bayes_spark1.5_bigdata_1
82.3447105263158,naive-bayes,spark1.5,huge,10,r4.2xlarge,191.85231690199998,10_r4.2xlarge_naive-bayes_spark1.5_huge_1
66.14643234323432,pagerank,hadoop,bigdata,10,r4.2xlarge,855.242,10_r4.2xlarge_pagerank_hadoop_bigdata_1
62.290853846153844,pagerank,hadoop,huge,10,r4.2xlarge,647.263,10_r4.2xlarge_pagerank_hadoop_huge_1
55.156774193548394,pagerank,spark,bigdata,10,r4.2xlarge,270.936,10_r4.2xlarge_pagerank_spark_bigdata_1
47.58910810810811,pagerank,spark,huge,10,r4.2xlarge,181.227,10_r4.2xlarge_pagerank_spark_huge_1
74.73236549291131,regression,spark1.5,bigdata,10,r4.2xlarge,3373.9430048900003,10_r4.2xlarge_regression_spark1.5_bigdata_1
57.91403225806452,regression,spark1.5,huge,10,r4.2xlarge,154.49937886400005,10_r4.2xlarge_regression_spark1.5_huge_1
31.560651982378857,terasort,hadoop,bigdata,10,r4.2xlarge,858.669,10_r4.2xlarge_terasort_hadoop_bigdata_1
51.034471698113215,terasort,hadoop,huge,10,r4.2xlarge,260.222,10_r4.2xlarge_terasort_hadoop_huge_1
60.95561820052846,wordcount,hadoop,bigdata,10,r4.2xlarge,526.086,10_r4.2xlarge_wordcount_hadoop_bigdata_1
62.88419429824561,wordcount,hadoop,huge,10,r4.2xlarge,276.373,10_r4.2xlarge_wordcount_hadoop_huge_1
68.73824131646572,join,spark,bigdata,10,r4.large,883.491,10_r4.large_join_spark_bigdata_1
66.62130841121495,join,spark,huge,10,r4.large,533.062,10_r4.large_join_spark_huge_1
88.46507212825173,kmeans,spark1.5,bigdata,10,r4.large,6979.046487945001,10_r4.large_kmeans_spark1.5_bigdata_1
88.31802375296911,kmeans,spark1.5,huge,10,r4.large,2107.3998828509993,10_r4.large_kmeans_spark1.5_huge_1
